id,confidence,x_percent_from_left,y_percent_from_top,clockwise_degrees,region,possible_neighbors,artwork_similarity
B-d5,high,4.4,34.2,256,Left of raised sleeve,B-c2 right,0.932
B-d6,high,96.7,5.9,8,Top-right blossom gap,A-b2 left; B-a3 below,0.975
B-d7,high,71.6,17.0,4,Gold area right of head,B-b8 below; B-g7 right,0.99
B-d8,high,88.0,60.6,82,Waist / blue branch area,A-a2 above-left; A-i7 right; B-a6 below-right,0.969
B-e1,high,76.9,46.7,354,Large middle-right gap,A-d3 above; A-j6 below-right; B-b6 right; B-d2 above; B-h3 left; B-h4 below; B-i1 below-left,0.974
B-e2,medium,72.5,79.8,268,Large lower-right gap,A-e7 above; B-e6 left; B-g3 above-right; B-h5 right,0.831
B-e3,unresolved,,,,,,0.585
B-e4,unresolved,,,,,,0.647
B-e5,medium,64.4,49.4,336,Large middle-right gap,A-c4 right; B-c7 left; C-b3 above,0.866
B-e6,medium,69.1,80.0,264,Large lower-right gap,A-i4 above-left; B-e2 right; B-f7 below; B-h6 left,0.883
B-e7,high,6.0,51.3,248,Left of green sleeve,A-i3 above-right; B-c4 right; B-g5 below,0.943
B-e8,high,66.4,53.4,202,Large middle-right gap,A-h7 right,0.924
B-f1,high,92.3,46.5,90,Large middle-right gap,A-a6 above-right; A-b5 right; B-g1 above; B-g6 left; C-a5 below,0.955
B-f2,unresolved,,,,,,0.498
B-f3,unresolved,,,,,,0.589
B-f4,unresolved,,,,,,0.676
B-f5,medium,89.4,50.0,80,Large middle-right gap,A-b3 above-left; A-e6 left; B-g6 above; C-a5 right,0.821
B-f6,high,79.9,19.5,250,Gold area right of head,A-e2 above-left; B-b8 left; B-c8 below; C-b2 below,0.974
B-f7,high,69.4,83.0,172,Large lower-right gap,B-e6 above,0.905
B-f8,high,2.9,26.2,6,Left of raised sleeve,B-a7 below-right; B-b4 above-right,0.984
B-g1,high,91.0,44.0,334,Large middle-right gap,A-a6 right; A-b1 above; A-d7 above-left; B-f1 below,0.975
B-g2,high,15.2,30.5,168,Left of raised sleeve,A-c6 above-left; A-g2 left; A-j5 left,0.981
B-g3,high,75.4,76.9,28,Large lower-right gap,A-e7 left; A-g7 below; B-e2 below-left; B-h2 right; B-h5 below,0.91
B-g4,high,63.6,77.3,142,Large lower-right gap,A-i4 right; B-h6 below,0.926
B-g5,high,7.6,53.3,350,Left of green sleeve,B-c4 right; B-e7 above,0.962
B-g6,high,89.1,47.7,168,Large middle-right gap,A-b3 left; B-f1 right; B-f5 below; C-a5 right,0.973
B-g7,high,74.5,17.1,188,Gold area right of head,A-e2 right; A-f7 right; B-b8 below; B-d7 left,0.981
B-g8,high,84.5,45.0,342,Large middle-right gap,A-b3 below; A-d7 above; A-g1 below; B-b6 left; B-d4 above,0.932
B-h1,unresolved,,,,,,0.776
B-h2,medium,79.1,78.4,188,Large lower-right gap,A-g7 left; A-i6 above; B-g3 left; B-h5 below-left,0.881
B-h3,high,72.4,47.6,190,Large middle-right gap,A-c4 left; B-d2 above-right; B-e1 right; B-i1 below; C-b4 above,0.974
B-h4,high,77.1,49.1,126,Large middle-right gap,A-h5 below; A-j6 right; B-e1 above; B-i1 left,0.932
B-h5,high,75.7,80.7,346,Large lower-right gap,A-g7 above; B-e2 left; B-g3 above; B-h2 above-right,0.934
B-h6,high,64.7,80.1,218,Large lower-right gap,A-i4 above-right; B-e6 right; B-g4 above,0.943
B-i1,high,72.9,49.8,220,Large middle-right gap,A-h5 right; B-e1 above-right; B-h3 above; B-h4 right,0.952
B-i3,unresolved,,,,,,0.685
B-i4,high,91.9,34.6,172,Large middle-right gap,A-b1 below; A-b6 left; A-h6 left; A-j1 right; B-b1 above; C-a1 below-left,0.933
B-i5,high,8.5,24.5,208,Left of raised sleeve,A-c6 below; A-j7 right; B-a7 below; B-b4 left,0.967
B-i6,high,62.5,40.8,174,Large middle-right gap,A-d5 below-right; C-b3 below,0.974
B-i7,medium,57.0,65.7,114,Large lower-right gap,,0.895
C-a1,high,87.9,38.4,240,Large middle-right gap,A-b1 below-right; A-d7 below; A-h6 above; A-i1 left; A-i5 left; B-d4 below-left; B-i4 above-right,0.968
C-a2,unresolved,,,,,,0.609
C-a3,medium,89.9,74.8,350,Large lower-right gap,A-d1 above; A-d6 right; B-a1 left,0.898
C-a4,high,80.9,51.0,250,Large middle-right gap,A-c7 below; A-e6 right; A-h5 left; A-j6 above,0.914
C-a5,medium,95.4,50.0,86,Large middle-right gap,A-b5 above; B-f1 above; B-f5 left; B-g6 left,0.887
C-b1,high,75.0,36.6,254,Large middle-right gap,A-a4 above; A-c3 below-right; A-h2 below,0.982
C-b2,high,81.0,22.7,354,Gold area right of head,A-j4 right; B-c8 left; B-f6 above,0.97
C-b3,high,62.9,45.4,342,Large middle-right gap,A-c4 below-right; A-d5 above-right; B-e5 below; B-i6 above,0.928
C-b4,high,71.2,45.2,356,Large middle-right gap,A-b7 above; A-c4 below-left; A-d5 above-left; B-d2 right; B-h3 below,0.933
C-b5,unresolved,,,,,,0.769
